History,1,Fix stop calculation error / Fix fee error,,,,,,Fee ratio to 0.06,,,,,
,INJ,30.44%,23,0.217,50,-10.843,,30.44%,23,1.233,50,-10.843,
,XRP,21.88%,64,-0.125,-80,-45.827,,20.64%,63,0.719,-110,-39.585,
,LINK,29.85%,67,0.194,130,-42.418,,30.30%,66,1.207,140,-38.857,
,ORDI,66.67%,6,1.667,100,-0.836,,66.67%,6,5.904,100,-0.836,
,ATOM,20.76%,53,-0.17,-90,-38.802,,24.53%,53,0.904,-10,-30.667,
,HOOK,22.73%,22,-0.091,-20,-16.12,,18.18%,22,0.614,-60,-14.734,
,BNB,23.88%,67,-0.045,-30,-56.309,,23.08%,65,0.821,-50,-46.365,
,OP,38.24%,34,0.529,180,-16.573,,35.29%,34,1.537,140,-15.418,
,BCH,25.00%,76,0,0,-50.034,,25.00%,76,0.925,0,-45.262,
,ARB,37.50%,8,0.5,40,-7.059,,37.50%,8,1.629,40,-5.908,
,NEAR,32.26%,62,0.29,180,-33.015,,32.26%,62,1.339,180,-29.971,
,ETC,25.64%,78,0.026,20,-46.865,,25.97%,77,0.982,30,-41.05,
,DOT,32.35%,68,0.294,200,-46.381,,29.41%,68,1.154,120,-41.02,
,UNI,22.22%,45,-0.111,-50,-35.449,,18.18%,44,0.613,-120,-29.451,
,WLD,0.00%,8,-1,-80,-4.697,,0.00%,8,0,-80,-4.697,
